unique_id,date,address
gmb-2024-28033,16-01-2024,"Woestduinstraat 136-2, Amsterdam, Netherlands"
gmb-2024-28046,16-01-2024,"Palestrinastraat 28-2, Amsterdam, Netherlands"
gmb-2024-26539,16-01-2024,"Geldersekade 11-3, Amsterdam, Netherlands"
gmb-2024-26546,16-01-2024,"Polanenstraat 65, Amsterdam, Netherlands"
gmb-2024-26578,16-01-2024,"Tichelstraat 26-H, Amsterdam, Netherlands"
gmb-2024-26515,16-01-2024,"Zoomstraat 11, Amsterdam, Netherlands"
gmb-2024-28023,16-01-2024,"Amstel 180-3, Amsterdam, Netherlands"
gmb-2024-26560,16-01-2024,"Rhijnvis Feithstraat 44-2, Amsterdam, Netherlands"
gmb-2024-26573,16-01-2024,"Ribesstraat 22, Amsterdam, Netherlands"
gmb-2024-28030,16-01-2024,"Ceintuurbaan 213-2, Amsterdam, Netherlands"
gmb-2024-28043,16-01-2024,"Sarphatikade 2E, Amsterdam, Netherlands"
gmb-2024-28024,16-01-2024,"Marco Polostraat 274-3, Amsterdam, Netherlands"
gmb-2024-28044,16-01-2024,"Eerste Boerhaavestraat 5-3, Amsterdam, Netherlands"
gmb-2024-26511,16-01-2024,"Lange Leidsedwarsstraat 224-3, Amsterdam, Netherlands"
gmb-2024-26569,16-01-2024,"Singel 25E, Amsterdam, Netherlands"
gmb-2024-26607,16-01-2024,"Sassenheimstraat 22-3, Amsterdam, Netherlands"
gmb-2024-24587,15-01-2024,"Kerkstraat 321A, Amsterdam, Netherlands"
gmb-2024-24638,15-01-2024,"Vrolikstraat 60-2, Amsterdam, Netherlands"
gmb-2024-24614,15-01-2024,"Buitenzagerij 10, Amsterdam, Netherlands"
gmb-2024-24608,15-01-2024,"Middenlaan Zunderdorp 8, Amsterdam, Netherlands"
gmb-2024-24577,15-01-2024,"Singel 111B, Amsterdam, Netherlands"
gmb-2024-24584,15-01-2024,"Bronckhorststraat 46-2, Amsterdam, Netherlands"
gmb-2024-24540,15-01-2024,"Meerpad 17, Amsterdam, Netherlands"
gmb-2024-24598,15-01-2024,"Jan Hanzenstraat 3-H, Amsterdam, Netherlands"
gmb-2024-24642,15-01-2024,"Buiksloterweg 35C, Amsterdam, Netherlands"
gmb-2024-24636,15-01-2024,"Eerste Constantijn Huygensstraat 41-2, Amsterdam, Netherlands"
gmb-2024-24586,15-01-2024,"Egelantiersgracht 193-1, Amsterdam, Netherlands"
gmb-2024-24637,15-01-2024,"Van Breestraat 138-H, Amsterdam, Netherlands"
gmb-2024-22707,12-01-2024,"Weteringschans 235B, Amsterdam, Netherlands"
gmb-2024-22741,12-01-2024,"Oudeschans 64Z, Amsterdam, Netherlands"
gmb-2024-22742,12-01-2024,"Parnassusweg 194, Amsterdam, Netherlands"
gmb-2024-22736,12-01-2024,"Postjesweg 103-2, Amsterdam, Netherlands"
gmb-2024-20430,11-01-2024,"Lisdoddelaan 127, Amsterdam, Netherlands"
gmb-2024-20424,11-01-2024,"Utrechtsedwarsstraat 113E, Amsterdam, Netherlands"
gmb-2024-20475,11-01-2024,"Fannius Scholtenstraat 50-1, Amsterdam, Netherlands"
gmb-2024-20469,11-01-2024,"Amstelkade 19-2, Amsterdam, Netherlands"
gmb-2024-20425,11-01-2024,"Korenbloemstraat 58, Amsterdam, Netherlands"
gmb-2024-20438,11-01-2024,"Kruisbessenstraat 10, Amsterdam, Netherlands"
gmb-2024-20489,11-01-2024,"Amstelkade 51-H, Amsterdam, Netherlands"
gmb-2024-20432,11-01-2024,"De Wittenkade 100A, Amsterdam, Netherlands"
gmb-2024-20464,11-01-2024,"Soembawastraat 92, Amsterdam, Netherlands"
gmb-2024-20477,11-01-2024,"Van Ostadestraat 134-2, Amsterdam, Netherlands"
gmb-2024-20427,11-01-2024,"Vrolikstraat 128A, Amsterdam, Netherlands"
gmb-2024-20491,11-01-2024,"Linnaeusstraat 8-1, Amsterdam, Netherlands"
gmb-2024-20447,11-01-2024,"Willem de Zwijgerlaan 266, Amsterdam, Netherlands"
gmb-2024-20454,11-01-2024,"Lumeijstraat 30-2, Amsterdam, Netherlands"
gmb-2024-20448,11-01-2024,"Nassaukade 146-4, Amsterdam, Netherlands"
gmb-2024-20429,11-01-2024,"Kometensingel 120, Amsterdam, Netherlands"
gmb-2024-20480,11-01-2024,"Zeeburgerkade 192, Amsterdam, Netherlands"
gmb-2024-20423,11-01-2024,"Veerstraat 70D, Amsterdam, Netherlands"
gmb-2024-20493,11-01-2024,"Van Ostadestraat 134-2, Amsterdam, Netherlands"
gmb-2024-20455,11-01-2024,"Weteringschans 245-3A, Amsterdam, Netherlands"
gmb-2024-20436,11-01-2024,"3e Kekerstraat 146, Amsterdam, Netherlands"
gmb-2024-20468,11-01-2024,"Willemsparkweg 98-1, Amsterdam, Netherlands"
