unique_id,page_number,title,approval_status,address,date,municipality,pdf_link
gmb-2024-28033,1,Besluit vakantieverhuur vergunning Verleend Woestduinstraat 136-2,Verleend,Woestduinstraat 136-2,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-28033.pdf
gmb-2024-28046,1,Besluit vakantieverhuur vergunning Verleend Palestrinastraat 28-2,Verleend,Palestrinastraat 28-2,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-28046.pdf
gmb-2024-26539,1,Besluit vakantieverhuur vergunning Verleend Geldersekade 11-3,Verleend,Geldersekade 11-3,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-26539.pdf
gmb-2024-26546,1,Besluit vakantieverhuur vergunning Verleend Polanenstraat 65,Verleend,Polanenstraat 65,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-26546.pdf
gmb-2024-26578,1,Besluit vakantieverhuur vergunning Verleend Tichelstraat 26-H,Verleend,Tichelstraat 26-H,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-26578.pdf
gmb-2024-26515,1,Besluit vakantieverhuur vergunning Verleend Zoomstraat 11,Verleend,Zoomstraat 11,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-26515.pdf
gmb-2024-28023,1,Besluit vakantieverhuur vergunning Verleend Amstel 180-3,Verleend,Amstel 180-3,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-28023.pdf
gmb-2024-26560,1,Besluit vakantieverhuur vergunning Verleend Rhijnvis Feithstraat 44-2,Verleend,Rhijnvis Feithstraat 44-2,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-26560.pdf
gmb-2024-26573,1,Besluit vakantieverhuur vergunning Verleend Ribesstraat 22,Verleend,Ribesstraat 22,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-26573.pdf
gmb-2024-28030,1,Besluit vakantieverhuur vergunning Verleend Ceintuurbaan 213-2,Verleend,Ceintuurbaan 213-2,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-28030.pdf
gmb-2024-28043,1,Besluit vakantieverhuur vergunning Verleend Sarphatikade 2E,Verleend,Sarphatikade 2E,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-28043.pdf
gmb-2024-28024,1,Besluit vakantieverhuur vergunning Verleend Marco Polostraat 274-3,Verleend,Marco Polostraat 274-3,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-28024.pdf
gmb-2024-28044,1,Besluit vakantieverhuur vergunning Verleend Eerste Boerhaavestraat 5-3,Verleend,Eerste Boerhaavestraat 5-3,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-28044.pdf
gmb-2024-26511,1,Besluit vakantieverhuur vergunning Verleend Lange Leidsedwarsstraat 224-3,Verleend,Lange Leidsedwarsstraat 224-3,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-26511.pdf
gmb-2024-26569,1,Besluit vakantieverhuur vergunning Verleend Singel 25E,Verleend,Singel 25E,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-26569.pdf
gmb-2024-26607,1,Besluit vakantieverhuur vergunning Verleend Sassenheimstraat 22-3,Verleend,Sassenheimstraat 22-3,16-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-26607.pdf
gmb-2024-24587,1,Besluit vakantieverhuur vergunning Verleend Kerkstraat 321A,Verleend,Kerkstraat 321A,15-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-24587.pdf
gmb-2024-24638,1,Besluit vakantieverhuur vergunning Verleend Vrolikstraat 60-2,Verleend,Vrolikstraat 60-2,15-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-24638.pdf
gmb-2024-24614,1,Besluit vakantieverhuur vergunning Verleend Buitenzagerij 10,Verleend,Buitenzagerij 10,15-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-24614.pdf
gmb-2024-24608,1,Besluit vakantieverhuur vergunning Verleend Middenlaan Zunderdorp 8,Verleend,Middenlaan Zunderdorp 8,15-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-24608.pdf
gmb-2024-24577,1,Besluit vakantieverhuur vergunning Verleend Singel 111B,Verleend,Singel 111B,15-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-24577.pdf
gmb-2024-24584,1,Besluit vakantieverhuur vergunning Verleend Bronckhorststraat 46-2,Verleend,Bronckhorststraat 46-2,15-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-24584.pdf
gmb-2024-24540,1,Besluit vakantieverhuur vergunning Verleend Meerpad 17,Verleend,Meerpad 17,15-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-24540.pdf
gmb-2024-24598,1,Besluit vakantieverhuur vergunning Verleend Jan Hanzenstraat 3-H,Verleend,Jan Hanzenstraat 3-H,15-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-24598.pdf
gmb-2024-24642,1,Besluit vakantieverhuur vergunning Verleend Buiksloterweg 35C,Verleend,Buiksloterweg 35C,15-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-24642.pdf
gmb-2024-24636,1,Besluit vakantieverhuur vergunning Verleend Eerste Constantijn Huygensstraat 41-2,Verleend,Eerste Constantijn Huygensstraat 41-2,15-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-24636.pdf
gmb-2024-24586,1,Besluit vakantieverhuur vergunning Verleend Egelantiersgracht 193-1,Verleend,Egelantiersgracht 193-1,15-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-24586.pdf
gmb-2024-24637,1,Besluit vakantieverhuur vergunning Verleend Van Breestraat 138-H,Verleend,Van Breestraat 138-H,15-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-24637.pdf
gmb-2024-22707,1,Besluit vakantieverhuur vergunning Verleend Weteringschans 235B,Verleend,Weteringschans 235B,12-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-22707.pdf
gmb-2024-22741,1,Besluit vakantieverhuur vergunning Verleend Oudeschans 64Z,Verleend,Oudeschans 64Z,12-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-22741.pdf
gmb-2024-22742,1,Besluit vakantieverhuur vergunning Verleend Parnassusweg 194,Verleend,Parnassusweg 194,12-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-22742.pdf
gmb-2024-22736,1,Besluit vakantieverhuur vergunning Verleend Postjesweg 103-2,Verleend,Postjesweg 103-2,12-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-22736.pdf
gmb-2024-20430,1,Besluit vakantieverhuur vergunning Verleend Lisdoddelaan 127,Verleend,Lisdoddelaan 127,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20430.pdf
gmb-2024-20424,1,Besluit vakantieverhuur vergunning Verleend Utrechtsedwarsstraat 113E,Verleend,Utrechtsedwarsstraat 113E,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20424.pdf
gmb-2024-20475,1,Besluit vakantieverhuur vergunning Verleend Fannius Scholtenstraat 50-1,Verleend,Fannius Scholtenstraat 50-1,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20475.pdf
gmb-2024-20469,1,Besluit vakantieverhuur vergunning Verleend Amstelkade 19-2,Verleend,Amstelkade 19-2,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20469.pdf
gmb-2024-20425,1,Besluit vakantieverhuur vergunning Verleend Korenbloemstraat 58,Verleend,Korenbloemstraat 58,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20425.pdf
gmb-2024-20438,1,Besluit vakantieverhuur vergunning Verleend Kruisbessenstraat 10,Verleend,Kruisbessenstraat 10,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20438.pdf
gmb-2024-20489,1,Besluit vakantieverhuur vergunning Verleend Amstelkade 51-H,Verleend,Amstelkade 51-H,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20489.pdf
gmb-2024-20432,1,Besluit vakantieverhuur vergunning Verleend De Wittenkade 100A,Verleend,De Wittenkade 100A,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20432.pdf
gmb-2024-20464,1,Besluit vakantieverhuur vergunning Verleend Soembawastraat 92,Verleend,Soembawastraat 92,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20464.pdf
gmb-2024-20477,1,Besluit vakantieverhuur vergunning Verleend Van Ostadestraat 134-2,Verleend,Van Ostadestraat 134-2,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20477.pdf
gmb-2024-20427,1,Besluit vakantieverhuur vergunning Verleend Vrolikstraat 128A,Verleend,Vrolikstraat 128A,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20427.pdf
gmb-2024-20491,1,Besluit vakantieverhuur vergunning Verleend Linnaeusstraat 8-1,Verleend,Linnaeusstraat 8-1,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20491.pdf
gmb-2024-20447,1,Besluit vakantieverhuur vergunning Verleend Willem de Zwijgerlaan 266,Verleend,Willem de Zwijgerlaan 266,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20447.pdf
gmb-2024-20454,1,Besluit vakantieverhuur vergunning Verleend Lumeijstraat 30-2,Verleend,Lumeijstraat 30-2,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20454.pdf
gmb-2024-20448,1,Besluit vakantieverhuur vergunning Verleend Nassaukade 146-4,Verleend,Nassaukade 146-4,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20448.pdf
gmb-2024-20429,1,Besluit vakantieverhuur vergunning Verleend Kometensingel 120,Verleend,Kometensingel 120,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20429.pdf
gmb-2024-20480,1,Besluit vakantieverhuur vergunning Verleend Zeeburgerkade 192,Verleend,Zeeburgerkade 192,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20480.pdf
gmb-2024-20423,1,Besluit vakantieverhuur vergunning Verleend Veerstraat 70D,Verleend,Veerstraat 70D,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20423.pdf
gmb-2024-20493,1,Besluit vakantieverhuur vergunning Verleend Van Ostadestraat 134-2,Verleend,Van Ostadestraat 134-2,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20493.pdf
gmb-2024-20455,1,Besluit vakantieverhuur vergunning Verleend Weteringschans 245-3A,Verleend,Weteringschans 245-3A,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20455.pdf
gmb-2024-20436,1,Besluit vakantieverhuur vergunning Verleend 3e Kekerstraat 146,Verleend,3e Kekerstraat 146,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20436.pdf
gmb-2024-20468,1,Besluit vakantieverhuur vergunning Verleend Willemsparkweg 98-1,Verleend,Willemsparkweg 98-1,11-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-20468.pdf
gmb-2024-19479,1,"Wet toeristische verhuur, Perenstraat 247 te Den Haag",N/A,geen 'verleend',10-01-2024,'s-Gravenhage,https://zoek.officielebekendmakingen.nl/gmb-2024-19479.pdf
gmb-2024-16005,1,Besluit vakantieverhuur vergunning Verleend Brouwersgracht 91-1,Verleend,Brouwersgracht 91-1,09-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-16005.pdf
gmb-2024-16037,1,Besluit vakantieverhuur vergunning Verleend Hofwijckstraat 112,Verleend,Hofwijckstraat 112,09-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-16037.pdf
gmb-2024-17485,1,Besluit vakantieverhuur vergunning Verleend Ton van Duinhovenhof 5,Verleend,Ton van Duinhovenhof 5,09-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-17485.pdf
gmb-2024-16018,1,Besluit vakantieverhuur vergunning Verleend Kruldistelstraat 74,Verleend,Kruldistelstraat 74,09-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-16018.pdf
gmb-2024-17504,1,Besluit vakantieverhuur vergunning Verleend Bloemstraat 114-4,Verleend,Bloemstraat 114-4,09-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-17504.pdf
gmb-2024-16019,1,Besluit vakantieverhuur vergunning Verleend Faas Wilkesstraat 293,Verleend,Faas Wilkesstraat 293,09-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-16019.pdf
gmb-2024-17480,1,Besluit vakantieverhuur vergunning Verleend Buiksloterbreek 20,Verleend,Buiksloterbreek 20,09-01-2024,Amsterdam,https://zoek.officielebekendmakingen.nl/gmb-2024-17480.pdf
